Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,
6,67,46,0,0,13.04,3,caught,4,v Sri Lanka,Colombo (SSC),9-Aug-97,Test # 1376
34,149,117,4,0,29.05,3,caught,2,v Sri Lanka,Mohali,19-Nov-97,Test # 1385
92,330,221,10,1,41.62,3,caught,1,v Sri Lanka,Nagpur,26-Nov-97,Test # 1387
93,302,219,14,0,42.46,3,caught,1,v Sri Lanka,Mumbai,3-Dec-97,Test # 1390
85,153,121,8,0,70.24,3,caught,3,v Sri Lanka,Mumbai,3-Dec-97,Test # 1390
52,241,169,5,0,30.76,3,caught,1,v Australia,Chennai,6-Mar-98,Test # 1405
56,214,149,7,0,37.58,3,caught,3,v Australia,Chennai,6-Mar-98,Test # 1405
86,209,150,12,0,57.33,3,caught,2,v Australia,Kolkata,18-Mar-98,Test # 1409
23,131,94,4,0,24.46,3,bowled,1,v Australia,Bangalore,25-Mar-98,Test # 1413
6,63,31,0,0,19.35,3,caught,3,v Australia,Bangalore,25-Mar-98,Test # 1413
118,423,300,17,0,39.33,4,caught,2,v Zimbabwe,Harare,7-Oct-98,Test # 1425
44,191,115,3,0,38.26,3,caught,4,v Zimbabwe,Harare,7-Oct-98,Test # 1425
0,8,6,0,0,0,3,lbw,1,v New Zealand,Wellington,26-Dec-98,Test # 1435
28,102,77,5,0,36.36,3,bowled,3,v New Zealand,Wellington,26-Dec-98,Test # 1435
190,490,354,31,0,53.67,3,caught,2,v New Zealand,Hamilton,2-Jan-99,Test # 1438
103*,163,136,16,0,75.73,3,not out,4,v New Zealand,Hamilton,2-Jan-99,Test # 1438
53,152,113,5,1,46.9,3,lbw,2,v Pakistan,Chennai,28-Jan-99,Test # 1442
10,110,55,1,0,18.18,3,bowled,4,v Pakistan,Chennai,28-Jan-99,Test # 1442
33,139,101,4,0,32.67,3,lbw,1,v Pakistan,Delhi,4-Feb-99,Test # 1443
29,121,72,2,0,40.27,3,caught,3,v Pakistan,Delhi,4-Feb-99,Test # 1443
24,108,93,2,0,25.8,4,bowled,2,v Pakistan,Kolkata,16-Feb-99,Test # 1444
13,54,33,1,0,39.39,3,caught,4,v Pakistan,Kolkata,16-Feb-99,Test # 1444
107,314,218,12,0,49.08,3,caught,1,v Sri Lanka,Colombo (SSC),24-Feb-99,Test # 1445
