"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","9.1","2","40","1","4.36","2","2","v Asia XI","Centurion","17 Aug 2005"
"2","1.0","0","2","1","2.00","2","2","v Asia XI","Durban","21 Aug 2005"
"3","5.0","0","58","1","11.60","2","1","v Australia","Melbourne (Docklands)","20 Jan 2006"
"4","3.0","0","32","0","10.66","2","1","v Sri Lanka","Hobart","7 Feb 2006"
"5","7.0","0","30","2","4.28","2","2","v Ireland","Belfast","24 Jun 2007"
"6","6.0","0","35","1","5.83","1","2","v India","Belfast","1 Jul 2007"
"7","10.0","1","65","3","6.50","4","1","v Zimbabwe","Harare","25 Aug 2007"
"8","9.0","0","50","2","5.55","2","1","v New Zealand","Cape Town","2 Dec 2007"
"9","7.5","0","24","2","3.06","2","1","v West Indies","Centurion","20 Jan 2008"
"10","10.0","0","35","1","3.50","2","2","v West Indies","Cape Town","25 Jan 2008"
"11","10.0","0","62","0","6.20","2","1","v West Indies","Port Elizabeth","27 Jan 2008"
"12","10.0","0","78","1","7.80","2","1","v West Indies","Johannesburg","3 Feb 2008"
"13","8.0","4","19","0","2.37","1","1","v Bangladesh","Dhaka","14 Mar 2008"
"14","10.0","0","67","1","6.70","1","1","v England","Leeds","22 Aug 2008"
"15","6.0","1","37","0","6.16","1","2","v England","Nottingham","26 Aug 2008"
"16","10.0","0","67","1","6.70","1","1","v England","The Oval","29 Aug 2008"
"17","3.0","0","17","1","5.66","1","2","v England","Lord's","31 Aug 2008"
"18","TDNB","-","-","-","-","-","-","v England","Cardiff","3 Sep 2008"
"19","8.0","1","16","4","2.00","1","2","v Bangladesh","Potchefstroom","7 Nov 2008"
"20","10.0","1","48","3","4.80","1","2","v Bangladesh","Benoni","9 Nov 2008"
"21","10.0","2","49","1","4.90","1","1","v Australia","Melbourne","16 Jan 2009"
"22","10.0","2","36","2","3.60","1","1","v Australia","Hobart","18 Jan 2009"
"23","8.2","1","47","2","5.64","1","1","v Australia","Sydney","23 Jan 2009"
"24","10.0","1","49","3","4.90","1","1","v Australia","Adelaide","26 Jan 2009"
"25","9.0","0","45","2","5.00","1","1","v Australia","Durban","3 Apr 2009"
"26","9.2","0","27","4","2.89","1","1","v Australia","Centurion","5 Apr 2009"
"27","10.0","0","44","0","4.40","1","2","v Australia","Cape Town","9 Apr 2009"
"28","7.5","1","44","4","5.61","1","2","v Australia","Port Elizabeth","13 Apr 2009"
"29","10.0","0","73","0","7.30","1","1","v Australia","Johannesburg","17 Apr 2009"
"30","9.0","2","47","3","5.22","1","1","v Sri Lanka","Centurion","22 Sep 2009"
"31","9.5","1","32","2","3.25","1","1","v New Zealand","Centurion","24 Sep 2009"
"32","10.0","0","59","1","5.90","1","1","v England","Centurion","27 Sep 2009"
"33","10.0","0","51","2","5.10","1","2","v Zimbabwe","Benoni","8 Nov 2009"
"34","10.0","0","64","0","6.40","1","2","v England","Centurion","22 Nov 2009"
"35","6.0","0","42","0","7.00","1","2","v England","Cape Town","27 Nov 2009"
"36","10.0","1","46","0","4.60","1","1","v India","Jaipur","21 Feb 2010"
"37","10.0","0","89","0","8.90","1","1","v India","Gwalior","24 Feb 2010"
"38","8.0","1","37","3","4.62","1","2","v India","Ahmedabad","27 Feb 2010"
"39","8.0","0","37","2","4.62","1","2","v West Indies","North Sound","22 May 2010"
"40","10.0","0","59","1","5.90","1","2","v West Indies","North Sound","24 May 2010"
"41","7.0","1","19","1","2.71","1","2","v West Indies","Roseau","28 May 2010"
"42","10.0","0","79","1","7.90","3","2","v Pakistan","Dubai (DSC)","5 Nov 2010"
"43","8.0","0","47","2","5.87","1","2","v Pakistan","Dubai (DSC)","8 Nov 2010"
"44","6.0","0","29","2","4.83","1","2","v India","Durban","12 Jan 2011"
"45","9.2","1","35","2","3.75","1","1","v India","Johannesburg","15 Jan 2011"
"46","10.0","1","31","2","3.10","1","2","v India","Cape Town","18 Jan 2011"
"47","4.0","0","15","0","3.75","1","2","v India","Port Elizabeth","21 Jan 2011"
"48","9.0","1","32","2","3.55","1","2","v India","Centurion","23 Jan 2011"
"49","7.3","1","24","3","3.20","2","1","v West Indies","Delhi","24 Feb 2011"
"50","6.0","1","26","1","4.33","1","2","v Netherlands","Mohali","3 Mar 2011"
"51","9.0","0","37","1","4.11","2","1","v England","Chennai","6 Mar 2011"
"52","9.4","0","50","5","5.17","1","1","v India","Nagpur","12 Mar 2011"
"53","4.0","1","13","0","3.25","1","2","v Ireland","Kolkata","15 Mar 2011"
"54","10.0","0","42","2","4.20","2","1","v New Zealand","Dhaka","25 Mar 2011"
"55","6.0","0","48","2","8.00","1","1","v Australia","Centurion","19 Oct 2011"
"56","10.0","0","57","2","5.70","1","2","v Australia","Port Elizabeth","23 Oct 2011"
"57","10.0","0","44","1","4.40","2","2","v Australia","Durban","28 Oct 2011"
