"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","9.0","0","64","0","7.11","4","2","v New Zealand","Christchurch","10 Dec 2005"
"2","3.0","0","28","0","9.33","3","2","v South Africa","Centurion","26 Feb 2006"
"3","7.0","0","34","1","4.85","3","1","v Bangladesh","Chittagong","23 Apr 2006"
"4","6.0","0","24","0","4.00","3","2","v Bangladesh","Fatullah","26 Apr 2006"
"5","8.0","1","24","2","3.00","1","1","v Bangladesh","Fatullah","28 Apr 2006"
"6","8.0","0","65","2","8.12","3","2","v West Indies","Kuala Lumpur","12 Sep 2006"
"7","4.0","0","11","4","2.75","2","2","v India","Kuala Lumpur","16 Sep 2006"
"8","10.0","0","40","3","4.00","4","1","v England","Jaipur","21 Oct 2006"
"9","8.0","0","33","1","4.12","4","1","v India","Mohali","29 Oct 2006"
"10","7.0","0","38","1","5.42","4","2","v New Zealand","Mohali","1 Nov 2006"
"11","10.0","2","34","2","3.40","4","1","v England","Melbourne","12 Jan 2007"
"12","7.0","0","27","2","3.85","3","2","v New Zealand","Hobart","14 Jan 2007"
"13","8.0","1","32","0","4.00","4","1","v England","Brisbane","19 Jan 2007"
"14","10.0","2","45","4","4.50","2","1","v England","Adelaide","26 Jan 2007"
"15","6.0","0","48","1","8.00","4","2","v New Zealand","Perth","28 Jan 2007"
"16","7.0","0","48","0","6.85","4","1","v New Zealand","Melbourne","4 Feb 2007"
"17","8.0","0","49","0","6.12","3","2","v New Zealand","Wellington","16 Feb 2007"
"18","10.0","0","81","3","8.10","3","2","v New Zealand","Hamilton","20 Feb 2007"
"19","1.0","0","1","1","1.00","2","2","v India","Bangalore","29 Sep 2007"
"20","9.0","1","46","1","5.11","2","2","v India","Kochi","2 Oct 2007"
"21","10.0","0","51","2","5.10","2","2","v India","Hyderabad (Deccan)","5 Oct 2007"
"22","8.0","0","51","0","6.37","3","1","v India","Chandigarh","8 Oct 2007"
"23","10.0","0","26","5","2.60","2","1","v India","Vadodara","11 Oct 2007"
"24","9.0","1","39","2","4.33","2","2","v India","Nagpur","14 Oct 2007"
