"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","17.0","2","32","1","1.88","6","1","v Australia","Colombo (RPS)","28 Aug 1992"
"2","34.0","7","109","2","3.20","5","3","v Australia","Colombo (RPS)","28 Aug 1992"
"3","15.1","2","58","1","3.82","5","1","v Australia","Moratuwa","8 Sep 1992"
"4","7.0","1","26","0","3.71","5","3","v Australia","Moratuwa","8 Sep 1992"
"5","12.1","3","22","3","1.80","6","2","v New Zealand","Colombo (SSC)","6 Dec 1992"
"6","40.0","6","134","4","3.35","4","3","v New Zealand","Colombo (SSC)","6 Dec 1992"
"7","45.0","12","118","4","2.62","5","1","v England","Colombo (SSC)","13 Mar 1993"
"8","16.0","3","55","1","3.43","4","3","v England","Colombo (SSC)","13 Mar 1993"
"9","TDNB","-","-","-","-","-","-","v India","Kandy","17 Jul 1993"
"10","47.1","12","136","4","2.88","6","2","v India","Colombo (PSS)","4 Aug 1993"
"11","39.0","8","104","5","2.66","5","2","v South Africa","Moratuwa","25 Aug 1993"
"12","31.0","11","48","1","1.54","3","4","v South Africa","Moratuwa","25 Aug 1993"
"13","54.0","17","101","5","1.87","5","2","v South Africa","Colombo (SSC)","6 Sep 1993"
"14","35.1","8","64","4","1.81","5","1","v South Africa","Colombo (PSS)","14 Sep 1993"
"15","15.0","3","39","1","2.60","4","3","v South Africa","Colombo (PSS)","14 Sep 1993"
"16","15.5","4","47","4","2.96","5","2","v West Indies","Moratuwa","8 Dec 1993"
"17","41.5","3","162","5","3.87","6","1","v India","Lucknow","18 Jan 1994"
"18","65.0","11","179","4","2.75","3","1","v India","Bangalore","26 Jan 1994"
"19","36.3","7","79","3","2.16","4","2","v India","Ahmedabad","8 Feb 1994"
"20","36.0","6","123","1","3.41","4","1","v Pakistan","Colombo (PSS)","9 Aug 1994"
"21","11.0","0","42","0","3.81","4","3","v Pakistan","Colombo (PSS)","9 Aug 1994"
"22","32.0","7","60","2","1.87","5","2","v Zimbabwe","Harare","11 Oct 1994"
"23","55.0","21","108","1","1.96","4","1","v Zimbabwe","Bulawayo","20 Oct 1994"
"24","DNB","-","-","-","-","-","2","v New Zealand","Napier","11 Mar 1995"
"25","36.0","15","64","5","1.77","4","4","v New Zealand","Napier","11 Mar 1995"
"26","50.0","20","77","2","1.54","3","2","v New Zealand","Dunedin","18 Mar 1995"
"27","DNB","-","-","-","-","-","4","v New Zealand","Dunedin","18 Mar 1995"
"28","50.0","9","134","4","2.68","4","1","v Pakistan","Peshawar","8 Sep 1995"
"29","23.3","6","68","5","2.89","5","2","v Pakistan","Faisalabad","15 Sep 1995"
"30","20.0","2","83","2","4.15","3","4","v Pakistan","Faisalabad","15 Sep 1995"
"31","27.1","6","72","4","2.65","4","2","v Pakistan","Sialkot","22 Sep 1995"
"32","17.0","3","53","0","3.11","5","4","v Pakistan","Sialkot","22 Sep 1995"
"33","54.0","3","224","2","4.14","3","2","v Australia","Perth","8 Dec 1995"
"34","38.0","7","124","1","3.26","5","1","v Australia","Melbourne","26 Dec 1995"
"35","DNB","-","-","-","-","-","4","v Australia","Melbourne","26 Dec 1995"
"36","24.0","9","28","2","1.16","4","2","v Zimbabwe","Colombo (RPS)","11 Sep 1996"
"37","20.3","4","33","5","1.60","6","3","v Zimbabwe","Colombo (RPS)","11 Sep 1996"
"38","20.0","5","40","4","2.00","3","1","v Zimbabwe","Colombo (SSC)","18 Sep 1996"
"39","41.0","9","94","3","2.29","3","3","v Zimbabwe","Colombo (SSC)","18 Sep 1996"
"40","33.0","6","136","0","4.12","4","1","v New Zealand","Dunedin","7 Mar 1997"
"41","22.0","4","43","3","1.95","5","1","v New Zealand","Hamilton","14 Mar 1997"
"42","26.0","7","62","3","2.38","5","3","v New Zealand","Hamilton","14 Mar 1997"
"43","53.0","19","98","6","1.84","4","2","v Pakistan","Colombo (RPS)","19 Apr 1997"
"44","23.4","13","34","5","1.43","4","2","v West Indies","St John's","13 Jun 1997"
"45","21.2","5","72","3","3.37","3","4","v West Indies","St John's","13 Jun 1997"
"46","12.0","1","28","3","2.33","4","1","v West Indies","Kingstown","20 Jun 1997"
"47","41.0","13","113","5","2.75","3","3","v West Indies","Kingstown","20 Jun 1997"
"48","65.0","9","174","2","2.67","4","1","v India","Colombo (RPS)","2 Aug 1997"
"49","48.0","17","99","4","2.06","4","2","v India","Colombo (SSC)","9 Aug 1997"
"50","35.0","5","96","3","2.74","3","4","v India","Colombo (SSC)","9 Aug 1997"
"51","75.0","30","174","3","2.32","4","2","v India","Mohali","19 Nov 1997"
"52","46.0","9","137","0","2.97","4","1","v India","Nagpur","26 Nov 1997"
"53","29.0","18","23","5","0.79","3","2","v Zimbabwe","Kandy","7 Jan 1998"
"54","42.5","13","94","7","2.19","3","3","v Zimbabwe","Kandy","7 Jan 1998"
"55","32.0","10","72","2","2.25","4","1","v Zimbabwe","Colombo (SSC)","14 Jan 1998"
"56","37.5","9","73","3","1.92","3","3","v Zimbabwe","Colombo (SSC)","14 Jan 1998"
"57","45.0","8","135","4","3.00","4","1","v South Africa","Cape Town","19 Mar 1998"
"58","41.0","10","108","4","2.63","4","3","v South Africa","Cape Town","19 Mar 1998"
"59","30.0","8","63","5","2.10","4","2","v South Africa","Centurion","27 Mar 1998"
"60","23.5","4","94","3","3.94","5","4","v South Africa","Centurion","27 Mar 1998"
"61","38.2","9","90","5","2.34","4","1","v New Zealand","Colombo (RPS)","27 May 1998"
"62","36.0","5","137","4","3.80","4","3","v New Zealand","Colombo (RPS)","27 May 1998"
"63","23.0","9","33","0","1.43","4","1","v New Zealand","Galle","3 Jun 1998"
"64","16.0","7","24","3","1.50","5","3","v New Zealand","Galle","3 Jun 1998"
"65","23.1","3","60","2","2.58","5","2","v New Zealand","Colombo (SSC)","10 Jun 1998"
"66","18.3","8","30","5","1.62","5","4","v New Zealand","Colombo (SSC)","10 Jun 1998"
"67","59.3","14","155","7","2.60","4","1","v England","The Oval","27 Aug 1998"
"68","54.2","27","65","9","1.19","3","3","v England","The Oval","27 Aug 1998"
"69","25.1","4","63","4","2.50","3","1","v Australia","Kandy","9 Sep 1999"
"70","26.0","5","65","3","2.50","4","3","v Australia","Kandy","9 Sep 1999"
"71","38.0","10","71","5","1.86","4","2","v Australia","Galle","22 Sep 1999"
"72","52.0","5","150","3","2.88","4","1","v Australia","Colombo (SSC)","30 Sep 1999"
"73","20.0","3","61","1","3.05","4","1","v Zimbabwe","Bulawayo","18 Nov 1999"
"74","14.0","3","50","1","3.57","4","3","v Zimbabwe","Bulawayo","18 Nov 1999"
"75","29.5","11","44","3","1.47","4","1","v Zimbabwe","Harare","26 Nov 1999"
"76","43.0","15","71","2","1.65","4","3","v Zimbabwe","Harare","26 Nov 1999"
"77","24.0","6","51","0","2.12","4","1","v Zimbabwe","Harare","4 Dec 1999"
