"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","1","-","8","0","0","12.50","4","bowled","1","v India","Toronto","11 Sep 1999"
"2","15","-","22","3","0","68.18","4","lbw","1","v India","Toronto","12 Sep 1999"
"3","7","-","22","1","0","31.81","4","caught","2","v India","Toronto","14 Sep 1999"
"4","6","-","15","1","0","40.00","7","caught","2","v Pakistan","Toronto","18 Sep 1999"
"5","0","-","1","0","0","0.00","7","bowled","1","v Pakistan","Toronto","19 Sep 1999"
"6","7","-","18","0","0","38.88","7","caught","1","v Sri Lanka","Sharjah","17 Oct 1999"
"7","22","-","42","3","0","52.38","3","caught","2","v Pakistan","Sharjah","19 Oct 1999"
"8","4","14","12","0","0","33.33","3","caught","1","v Zimbabwe","Kingston","1 Apr 2000"
"9","58*","62","45","5","1","128.88","5","not out","1","v Zimbabwe","Kingston","2 Apr 2000"
"10","15","-","13","1","0","115.38","5","caught","1","v Pakistan","Kingstown","12 Apr 2000"
"11","42","-","49","4","0","85.71","4","caught","1","v Pakistan","St George's","16 Apr 2000"
"12","8","-","16","0","0","50.00","4","run out","2","v Pakistan","Bridgetown","19 Apr 2000"
"13","33","-","35","4","0","94.28","5","run out","1","v Pakistan","Port of Spain","22 Apr 2000"
"14","0","-","2","0","0","0.00","5","caught","1","v Pakistan","Port of Spain","23 Apr 2000"
"15","41","102","86","6","0","47.67","2","run out","1","v Zimbabwe","Bristol","6 Jul 2000"
"16","TDNB","-","-","-","-","-","-","-","-","v England","Lord's","9 Jul 2000"
"17","6","17","13","1","0","46.15","1","caught","2","v Zimbabwe","Canterbury","11 Jul 2000"
"18","26","72","59","3","0","44.06","5","caught","1","v England","Chester-le-Street","15 Jul 2000"
"19","3","5","4","0","0","75.00","5","caught","1","v Zimbabwe","Chester-le-Street","16 Jul 2000"
"20","37","80","71","4","0","52.11","2","caught","1","v England","Nottingham","20 Jul 2000"
"21","27","69","34","4","0","79.41","2","caught","2","v South Africa","Kingston","28 Apr 2001"
"22","50","109","72","7","0","69.44","2","caught","1","v South Africa","St John's","2 May 2001"
"23","1","2","3","0","0","33.33","1","caught","2","v South Africa","St George's","5 May 2001"
"24","9","30","27","0","1","33.33","1","caught","1","v South Africa","St George's","6 May 2001"
"25","6","21","15","0","0","40.00","2","caught","1","v South Africa","Bridgetown","9 May 2001"
"26","28","66","39","5","0","71.79","2","bowled","2","v South Africa","Kingstown","16 May 2001"
"27","53","113","76","7","0","69.73","2","caught","1","v Zimbabwe","Harare","23 Jun 2001"
"28","0","6","5","0","0","0.00","2","lbw","1","v India","Bulawayo","30 Jun 2001"
"29","76","130","95","6","0","80.00","2","caught","2","v Zimbabwe","Bulawayo","1 Jul 2001"
"30","23","64","43","2","0","53.48","2","caught","1","v India","Harare","4 Jul 2001"
"31","43","54","45","8","0","95.55","2","caught","1","v India","Harare","7 Jul 2001"
"32","152","-","150","17","1","101.33","1","bowled","1","v Kenya","Nairobi","15 Aug 2001"
"33","10","-","22","0","1","45.45","2","caught","2","v Kenya","Nairobi (Gym)","18 Aug 2001"
"34","70","-","70","9","2","100.00","2","caught","2","v Kenya","Nairobi (Gym)","19 Aug 2001"
"35","0","5","5","0","0","0.00","1","run out","1","v Zimbabwe","Colombo (SSC)","9 Dec 2001"
"36","21","44","32","3","0","65.62","1","caught","1","v Sri Lanka","Colombo (RPS)","11 Dec 2001"
"37","8","8","9","2","0","88.88","1","lbw","1","v Sri Lanka","Kandy","15 Dec 2001"
"38","85","101","79","17","1","107.59","2","caught","2","v Zimbabwe","Kandy","16 Dec 2001"
"39","60","111","87","8","0","68.96","2","caught","2","v Sri Lanka","Colombo (RPS)","19 Dec 2001"
"40","50","86","53","10","0","94.33","2","bowled","1","v Pakistan","Sharjah","14 Feb 2002"
"41","62","76","46","8","3","134.78","2","caught","2","v Pakistan","Sharjah","15 Feb 2002"
"42","19","29","17","4","0","111.76","2","caught","1","v Pakistan","Sharjah","17 Feb 2002"
"43","16","53","43","2","0","37.20","1","caught","1","v India","Bridgetown","29 May 2002"
"44","84","76","67","9","3","125.37","1","caught","2","v India","Port of Spain","1 Jun 2002"
"45","3","18","10","0","0","30.00","1","bowled","2","v India","Port of Spain","2 Jun 2002"
"46","TDNB","-","-","-","-","-","-","-","-","v New Zealand","Kingston","5 Jun 2002"
"47","30","49","37","4","0","81.08","1","caught","2","v New Zealand","Gros Islet","8 Jun 2002"
"48","37","71","47","6","0","78.72","1","bowled","2","v New Zealand","Gros Islet","9 Jun 2002"
"49","60","93","60","4","2","100.00","1","caught","2","v New Zealand","Port of Spain","12 Jun 2002"
"50","67","108","79","7","1","84.81","1","caught","2","v New Zealand","Kingstown","16 Jun 2002"
"51","49","62","55","8","1","89.09","1","caught","1","v South Africa","Colombo (SSC)","13 Sep 2002"
"52","33","52","42","4","2","78.57","1","caught","1","v Kenya","Colombo (SSC)","17 Sep 2002"
"53","7","23","15","1","0","46.66","2","caught","2","v India","Jamshedpur","6 Nov 2002"
"54","103","173","116","8","3","88.79","1","bowled","2","v India","Nagpur","9 Nov 2002"
"55","72","98","68","12","2","105.88","1","bowled","1","v India","Rajkot","12 Nov 2002"
"56","140","162","127","12","5","110.23","1","caught","1","v India","Ahmedabad","15 Nov 2002"
"57","101","173","107","10","3","94.39","1","caught","2","v India","Vadodara","18 Nov 2002"
"58","27","67","38","4","0","71.05","1","lbw","1","v India","Jodhpur","21 Nov 2002"
"59","5","-","8","0","0","62.50","1","caught","1","v India","Vijayawada","24 Nov 2002"
"60","38","105","70","5","0","54.28","1","run out","1","v Bangladesh","Chittagong","29 Nov 2002"
"61","21","50","43","3","0","48.83","1","caught","1","v Bangladesh","Dhaka","2 Dec 2002"
"62","73","125","90","11","0","81.11","1","caught","1","v Bangladesh","Dhaka","3 Dec 2002"
"63","2","29","21","0","0","9.52","1","bowled","1","v South Africa","Cape Town","9 Feb 2003"
"64","22","35","29","5","0","75.86","1","caught","2","v New Zealand","Port Elizabeth","13 Feb 2003"
"65","0","22","5","0","0","0.00","2","caught","1","v Bangladesh","Benoni","18 Feb 2003"
"66","8","17","13","1","0","61.53","1","caught","2","v Canada","Centurion","23 Feb 2003"
"67","55","125","76","8","0","72.36","1","lbw","2","v Sri Lanka","Cape Town","28 Feb 2003"
"68","119","175","151","8","2","78.80","1","caught","1","v Kenya","Kimberley","4 Mar 2003"
"69","37","61","50","6","0","74.00","1","caught","2","v Australia","Kingston","17 May 2003"
"70","28","72","55","4","0","50.90","1","caught","1","v Australia","Kingston","18 May 2003"
"71","43","-","46","5","1","93.47","1","caught","2","v Australia","Gros Islet","21 May 2003"
"72","84","-","113","7","1","74.33","1","lbw","2","v Australia","Port of Spain","24 May 2003"
"73","5","-","4","1","0","125.00","1","lbw","1","v Australia","Port of Spain","25 May 2003"
"74","18","-","21","3","0","85.71","1","caught","2","v Australia","St George's","30 May 2003"
"75","60","-","68","8","0","88.23","1","bowled","2","v Australia","St George's","1 Jun 2003"
"76","0","-","9","0","0","0.00","1","caught","2","v Sri Lanka","Bridgetown","7 Jun 2003"
"77","94","-","125","12","2","75.20","1","run out","1","v Sri Lanka","Bridgetown","8 Jun 2003"
"78","21","-","75","1","0","28.00","1","bowled","2","v Sri Lanka","Kingstown","11 Jun 2003"
"79","153*","225","160","19","2","95.62","2","not out","1","v Zimbabwe","Bulawayo","22 Nov 2003"
"80","8","25","15","1","0","53.33","2","caught","1","v Zimbabwe","Bulawayo","23 Nov 2003"
"81","61","188","112","7","0","54.46","2","caught","2","v Zimbabwe","Harare","26 Nov 2003"
"82","51","70","34","7","3","150.00","2","caught","1","v Zimbabwe","Harare","29 Nov 2003"
"83","112*","127","75","17","2","149.33","2","not out","2","v Zimbabwe","Harare","30 Nov 2003"
"84","4","18","15","1","0","26.66","1","caught","2","v South Africa","Cape Town","25 Jan 2004"
"85","9","28","20","1","0","45.00","1","caught","2","v South Africa","Port Elizabeth","28 Jan 2004"
"86","1","14","16","0","0","6.25","1","caught","1","v South Africa","Durban","30 Jan 2004"
"87","26","21","22","2","2","118.18","1","caught","2","v South Africa","Centurion","1 Feb 2004"
"88","152*","220","153","12","3","99.34","1","not out","1","v South Africa","Johannesburg","4 Feb 2004"
"89","2","19","17","0","0","11.76","1","bowled","1","v England","Georgetown","18 Apr 2004"
"90","20","47","42","2","0","47.61","1","caught","1","v England","Port of Spain","24 Apr 2004"
"91","36","52","42","5","1","85.71","1","caught","2","v England","Gros Islet","1 May 2004"
"92","9","12","10","1","0","90.00","1","lbw","2","v England","Gros Islet","2 May 2004"
"93","41","70","52","4","1","78.84","1","bowled","1","v England","Bridgetown","5 May 2004"
"94","0","9","8","0","0","0.00","1","caught","2","v Bangladesh","Kingstown","15 May 2004"
"95","7","25","22","1","0","31.81","1","caught","1","v Bangladesh","Kingstown","16 May 2004"
"96","30","64","49","5","0","61.22","1","caught","1","v New Zealand","Birmingham","26 Jun 2004"
