"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","1","5","2","0","0","50.00","7","lbw","1","v Pakistan","Mohali","1 Apr 1999"
"2","DNB","-","-","-","-","-","-","-","2","v Zimbabwe","Kanpur","11 Dec 2000"
"3","19","18","24","0","1","79.16","6","caught","1","v Zimbabwe","Rajkot","14 Dec 2000"
"4","58","62","54","8","0","107.40","6","bowled","1","v Australia","Bangalore","25 Mar 2001"
"5","DNB","-","-","-","-","-","-","-","2","v Zimbabwe","Harare","24 Jun 2001"
"6","2","7","7","0","0","28.57","6","caught","2","v Zimbabwe","Bulawayo","27 Jun 2001"
"7","12","17","14","0","0","85.71","8","caught","2","v Sri Lanka","Colombo (RPS)","22 Jul 2001"
"8","27","60","41","5","0","65.85","2","caught","2","v Sri Lanka","Colombo (RPS)","28 Jul 2001"
"9","0","1","1","0","0","0.00","1","lbw","1","v Sri Lanka","Colombo (SSC)","1 Aug 2001"
"10","4","8","4","1","0","100.00","2","run out","2","v Sri Lanka","Colombo (RPS)","5 Aug 2001"
"11","5","9","5","0","0","100.00","5","caught","1","v South Africa","Johannesburg","5 Oct 2001"
"12","33","32","27","4","1","122.22","6","caught","1","v South Africa","Centurion","10 Oct 2001"
"13","4","8","5","0","0","80.00","6","caught","2","v South Africa","East London","19 Oct 2001"
"14","34","80","58","4","1","58.62","3","caught","1","v South Africa","Durban","26 Oct 2001"
"15","29","42","37","5","0","78.37","5","bowled","1","v England","Kolkata","19 Jan 2002"
"16","5","11","10","0","0","50.00","5","caught","2","v England","Cuttack","22 Jan 2002"
"17","51","81","58","8","0","87.93","2","caught","2","v England","Chennai","25 Jan 2002"
"18","82","70","62","14","0","132.25","2","caught","2","v England","Kanpur","28 Jan 2002"
"19","42","49","36","7","0","116.66","1","caught","2","v England","Delhi","31 Jan 2002"
"20","31","59","29","4","1","106.89","1","caught","2","v England","Mumbai","3 Feb 2002"
"21","21","44","36","3","0","58.33","2","caught","2","v West Indies","Bridgetown","29 May 2002"
"22","0","2","1","0","0","0.00","2","caught","1","v West Indies","Port of Spain","1 Jun 2002"
"23","32","38","32","6","0","100.00","2","caught","1","v West Indies","Port of Spain","2 Jun 2002"
"24","71","85","65","9","1","109.23","2","caught","2","v England","Lord's","29 Jun 2002"
"25","16","35","19","2","0","84.21","2","caught","1","v England","Chester-le-Street","4 Jul 2002"
"26","46","42","41","8","1","112.19","1","caught","2","v England","The Oval","9 Jul 2002"
"27","45","77","49","7","0","91.83","1","bowled","2","v England","Lord's","13 Jul 2002"
"28","13*","8","5","3","0","260.00","2","not out","2","v Sri Lanka","Colombo (RPS)","29 Sep 2002"
"29","25*","48","22","3","1","113.63","2","not out","2","v Sri Lanka","Colombo (RPS)","30 Sep 2002"
"30","28","38","26","4","0","107.69","1","caught","1","v West Indies","Jamshedpur","6 Nov 2002"
"31","1","5","5","0","0","20.00","2","caught","1","v West Indies","Nagpur","9 Nov 2002"
"32","114*","-","82","17","2","139.02","2","not out","2","v West Indies","Rajkot","12 Nov 2002"
"33","4","3","3","1","0","133.33","2","caught","2","v West Indies","Ahmedabad","15 Nov 2002"
"34","52","57","39","9","1","133.33","2","caught","1","v West Indies","Vadodara","18 Nov 2002"
"35","18","33","21","3","0","85.71","2","caught","2","v West Indies","Jodhpur","21 Nov 2002"
"36","12","-","15","2","0","80.00","1","caught","2","v West Indies","Vijayawada","24 Nov 2002"
"37","0","5","5","0","0","0.00","2","bowled","1","v New Zealand","Auckland","26 Dec 2002"
"38","108","160","119","9","2","90.75","2","run out","2","v New Zealand","Napier","29 Dec 2002"
"39","7","17","20","1","0","35.00","1","caught","1","v New Zealand","Christchurch","1 Jan 2003"
"40","23","45","39","4","0","58.97","1","caught","1","v New Zealand","Queenstown","4 Jan 2003"
"41","45","63","40","9","0","112.50","2","caught","2","v New Zealand","Wellington","8 Jan 2003"
"42","112","175","139","11","3","80.57","2","caught","2","v New Zealand","Auckland","11 Jan 2003"
"43","4","23","19","0","0","21.05","2","caught","1","v New Zealand","Hamilton","14 Jan 2003"
"44","36","78","38","6","0","94.73","1","caught","1","v Zimbabwe","Harare","19 Feb 2003"
"45","63","63","51","11","1","123.52","2","lbw","1","v Bangladesh","Dhaka","11 Apr 2003"
"46","43","51","44","8","0","97.72","1","caught","2","v Bangladesh","Dhaka","16 Apr 2003"
"47","31","39","29","5","1","106.89","1","bowled","1","v New Zealand","Chennai","23 Oct 2003"
"48","0","2","3","0","0","0.00","1","caught","1","v Australia","Gwalior","26 Oct 2003"
"49","0","1","1","0","0","0.00","1","lbw","2","v Australia","Mumbai","1 Nov 2003"
"50","39","80","53","3","1","73.58","1","bowled","2","v Australia","Bangalore","12 Nov 2003"
"51","130","193","134","15","2","97.01","1","caught","1","v New Zealand","Hyderabad (Deccan)","15 Nov 2003"
"52","5","10","12","1","0","41.66","2","caught","2","v Australia","Kolkata","18 Nov 2003"
"53","35","85","59","3","0","59.32","1","bowled","2","v Australia","Melbourne","9 Jan 2004"
"54","32","51","34","6","0","94.11","1","caught","1","v Australia","Perth","1 Feb 2004"
"55","3","13","8","0","0","37.50","1","caught","1","v Australia","Melbourne","6 Feb 2004"
"56","12","13","7","1","1","171.42","1","caught","2","v Australia","Sydney","8 Feb 2004"
"57","79","85","57","14","1","138.59","1","bowled","1","v Pakistan","Karachi","13 Mar 2004"
"58","26","35","21","4","0","123.80","1","bowled","2","v Pakistan","Rawalpindi","16 Mar 2004"
"59","13","29","18","3","0","72.22","1","caught","1","v Pakistan","Peshawar","19 Mar 2004"
"60","26","53","29","5","0","89.65","1","caught","2","v Pakistan","Lahore","21 Mar 2004"
"61","20","26","22","4","0","90.90","1","caught","1","v Pakistan","Lahore","24 Mar 2004"
"62","37","50","39","5","0","94.87","3","run out","2","v Sri Lanka","Dambulla","18 Jul 2004"
"63","81","144","92","6","2","88.04","2","caught","1","v Sri Lanka","Colombo (RPS)","27 Jul 2004"
"64","5","12","12","1","0","41.66","1","lbw","2","v Sri Lanka","Colombo (RPS)","1 Aug 2004"
"65","4","11","12","0","0","33.33","1","caught","1","v England","Nottingham","1 Sep 2004"
"66","0","2","2","0","0","0.00","2","lbw","2","v England","The Oval","3 Sep 2004"
"67","1","1","2","0","0","50.00","4","caught","1","v England","Lord's","5 Sep 2004"
"68","53","102","65","6","2","81.53","1","bowled","1","v Pakistan","Kolkata","13 Nov 2004"
"69","0","3","3","0","0","0.00","1","bowled","2","v Bangladesh","Dhaka","26 Dec 2004"
"70","70","85","52","9","2","134.61","1","caught","1","v Bangladesh","Dhaka","27 Dec 2004"
