"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","4.0","0","21","0","5.25","3","2","v Australia","Gros Islet","27 Mar 2012"
"2","4.0","0","33","0","8.25","2","2","v Australia","Bridgetown","30 Mar 2012"
"3","4.0","0","28","0","7.00","3","2","v England","Nottingham","24 Jun 2012"
"4","4.0","0","34","3","8.50","3","2","v New Zealand","Lauderhill","30 Jun 2012"
"5","4.0","0","12","4","3.00","3","2","v New Zealand","Lauderhill","1 Jul 2012"
"6","2.0","0","16","0","8.00","3","2","v Australia","Colombo (RPS)","22 Sep 2012"
"7","4.0","0","33","0","8.25","3","2","v England","Pallekele","27 Sep 2012"
"8","4.0","0","23","0","5.75","3","2","v Sri Lanka","Pallekele","29 Sep 2012"
"9","4.0","0","20","3","5.00","3","2","v New Zealand","Pallekele","1 Oct 2012"
"10","3.0","0","17","2","5.66","4","2","v Australia","Colombo (RPS)","5 Oct 2012"
"11","3.4","0","9","3","2.45","5","2","v Sri Lanka","Colombo (RPS)","7 Oct 2012"
"12","3.0","0","27","0","9.00","5","2","v Bangladesh","Dhaka","10 Dec 2012"
"13","4.0","0","19","2","4.75","3","2","v Australia","Brisbane","13 Feb 2013"
"14","4.0","0","17","2","4.25","4","1","v Zimbabwe","North Sound","2 Mar 2013"
"15","4.0","0","22","0","5.50","4","2","v Zimbabwe","North Sound","3 Mar 2013"
"16","4.0","0","24","1","6.00","3","2","v Pakistan","Kingstown","27 Jul 2013"
"17","4.0","0","26","3","6.50","3","1","v Pakistan","Kingstown","28 Jul 2013"
"18","4.0","0","46","0","11.50","3","1","v New Zealand","Auckland","11 Jan 2014"
"19","4.0","0","18","2","4.50","4","2","v New Zealand","Wellington","15 Jan 2014"
"20","4.0","0","16","1","4.00","3","2","v Ireland","Kingston","19 Feb 2014"
"21","4.0","0","12","1","3.00","3","2","v Ireland","Kingston","21 Feb 2014"
"22","2.0","0","8","1","4.00","3","2","v England","Bridgetown","9 Mar 2014"
"23","4.0","0","34","1","8.50","3","1","v England","Bridgetown","13 Mar 2014"
"24","4.0","0","20","0","5.00","3","2","v India","Dhaka","23 Mar 2014"
"25","4.0","0","17","1","4.25","5","2","v Bangladesh","Dhaka","25 Mar 2014"
"26","4.0","1","19","2","4.75","4","1","v Australia","Dhaka","28 Mar 2014"
"27","4.0","0","16","3","4.00","5","2","v Pakistan","Dhaka","1 Apr 2014"
"28","4.0","0","20","0","5.00","3","1","v Sri Lanka","Dhaka","3 Apr 2014"
"29","3.0","0","19","0","6.33","3","2","v New Zealand","Roseau","5 Jul 2014"
"30","4.0","0","19","2","4.75","3","2","v New Zealand","Roseau","6 Jul 2014"
