"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date","ha","result"
"278","15","28","24","2","0","62.50","6","bowled","2","v Pakistan","Karachi","15 Nov 1989",2,4
"279","DNB","-","-","-","-","-","-","-","4","v Pakistan","Karachi","15 Nov 1989",2,4
"280","59","254","172","4","0","34.30","6","lbw","1","v Pakistan","Faisalabad","23 Nov 1989",2,4
"281","8","24","16","1","0","50.00","6","run out","3","v Pakistan","Faisalabad","23 Nov 1989",2,4
"282","41","124","90","5","0","45.55","7","bowled","1","v Pakistan","Lahore","1 Dec 1989",2,4
"283","35","74","51","5","0","68.62","6","lbw","1","v Pakistan","Sialkot","9 Dec 1989",2,4
"284","57","193","134","6","0","42.53","6","caught","3","v Pakistan","Sialkot","9 Dec 1989",2,4
"285","88","324","266","5","0","33.08","6","caught","1","v New Zealand","Napier","9 Feb 1990",2,4
"286","5","15","13","1","0","38.46","6","caught","2","v New Zealand","Auckland","22 Feb 1990",2,4
"287","DNB","-","-","-","-","-","-","-","4","v New Zealand","Auckland","22 Feb 1990",2,4
"288","68","216","136","8","0","50.00","6","caught","2","v England","Manchester","9 Aug 1990",2,4
"289","119*","225","189","17","0","62.96","6","not out","4","v England","Manchester","9 Aug 1990",2,4
"290","21","39","30","3","0","70.00","7","caught","1","v England","The Oval","23 Aug 1990",2,4
"291","148*","298","213","14","0","69.48","6","not out","2","v Australia","Sydney","2 Jan 1992",2,4
"292","0","4","3","0","0","0.00","4","caught","2","v Zimbabwe","Harare","18 Oct 1992",2,4
"293","11","35","24","1","0","45.83","4","run out","2","v South Africa","Durban","13 Nov 1992",2,4
"294","111","373","270","19","0","41.11","4","caught","2","v South Africa","Johannesburg","26 Nov 1992",2,4
"295","1","6","5","0","0","20.00","4","lbw","4","v South Africa","Johannesburg","26 Nov 1992",2,4
"296","73","272","208","8","1","35.09","5","caught","2","v South Africa","Cape Town","2 Jan 1993",2,4
"297","DNB","-","-","-","-","-","-","-","4","v South Africa","Cape Town","2 Jan 1993",2,4
"298","TDNB","-","-","-","-","-","-","-","-","v Sri Lanka","Kandy","17 Jul 1993",2,4
"299","71","202","152","10","0","46.71","4","caught","2","v Sri Lanka","Colombo (PSS)","4 Aug 1993",2,4
"300","43","55","47","7","0","91.48","4","caught","2","v New Zealand","Hamilton","19 Mar 1994",2,4
"301","11*","57","42","0","0","26.19","4","not out","4","v New Zealand","Hamilton","19 Mar 1994",2,4
"302","31","81","59","5","0","52.54","4","bowled","2","v England","Lord's","20 Jun 1996",2,4
"303","177","462","360","26","0","49.16","4","caught","1","v England","Nottingham","4 Jul 1996",2,4
"304","74","111","97","11","1","76.28","4","caught","3","v England","Nottingham","4 Jul 1996",2,4
"305","35","72","55","7","0","63.63","4","caught","1","v South Africa","Johannesburg","16 Jan 1997",2,4
"306","9","13","11","2","0","81.81","4","caught","3","v South Africa","Johannesburg","16 Jan 1997",2,4
"307","7","40","30","1","0","23.33","4","bowled","2","v West Indies","Kingston","6 Mar 1997",2,4
"308","15*","43","36","1","0","41.66","4","not out","4","v West Indies","Kingston","6 Mar 1997",2,4
"309","88","306","233","9","0","37.76","4","run out","2","v West Indies","Port of Spain","14 Mar 1997",2,4
"310","DNB","-","-","-","-","-","-","-","2","v West Indies","St John's","4 Apr 1997",2,4
"311","83","287","231","9","0","35.93","4","caught","1","v West Indies","Georgetown","17 Apr 1997",2,4
"312","143","292","247","20","0","57.89","4","caught","1","v Sri Lanka","Colombo (RPS)","2 Aug 1997",2,4
"313","139","397","266","16","0","52.25","4","caught","2","v Sri Lanka","Colombo (SSC)","9 Aug 1997",2,4
"314","8","43","44","1","0","18.18","4","caught","4","v Sri Lanka","Colombo (SSC)","9 Aug 1997",2,4
"315","67","118","93","9","1","72.04","4","lbw","2","v New Zealand","Hamilton","2 Jan 1999",2,4
"316","DNB","-","-","-","-","-","-","-","4","v New Zealand","Hamilton","2 Jan 1999",2,4
"317","53","94","54","10","0","98.14","4","caught","1","v Sri Lanka","Colombo (SSC)","24 Feb 1999",2,4
"318","124*","308","235","10","1","52.76","4","not out","3","v Sri Lanka","Colombo (SSC)","24 Feb 1999",2,4
"319","1","10","4","0","0","25.00","4","caught","2","v South Africa","Port Elizabeth","16 Nov 2001",2,4
"320","22*","54","45","4","0","48.88","4","not out","4","v South Africa","Port Elizabeth","16 Nov 2001",2,4
"321","79","191","136","13","0","58.08","4","lbw","2","v West Indies","Georgetown","11 Apr 2002",2,4
"322","0","2","1","0","0","0.00","4","caught","1","v West Indies","St John's","10 May 2002",2,4
"323","34","90","68","6","0","50.00","4","bowled","1","v England","Nottingham","8 Aug 2002",2,4
"324","92","160","113","17","0","81.41","4","bowled","3","v England","Nottingham","8 Aug 2002",2,4
"325","54","114","89","10","0","60.67","4","lbw","2","v England","The Oval","5 Sep 2002",2,4
"326","0","3","3","0","0","0.00","4","lbw","2","v Australia","Brisbane","4 Dec 2003",2,4
"327","DNB","-","-","-","-","-","-","-","4","v Australia","Brisbane","4 Dec 2003",2,4
"328","241*","613","436","33","0","55.27","4","not out","1","v Australia","Sydney","2 Jan 2004",2,4
"329","60*","108","89","5","0","67.41","4","not out","3","v Australia","Sydney","2 Jan 2004",2,4
"330","DNB","-","-","-","-","-","-","-","2","v Pakistan","Lahore","13 Jan 2006",2,4
"331","14","64","33","3","0","42.42","4","caught","2","v Pakistan","Faisalabad","21 Jan 2006",2,4
"332","DNB","-","-","-","-","-","-","-","4","v Pakistan","Faisalabad","21 Jan 2006",2,4
"333","101","274","169","9","0","59.76","4","caught","1","v Bangladesh","Chittagong","18 May 2007",2,4
"334","31","69","50","2","0","62.00","4","bowled","3","v Bangladesh","Chittagong","18 May 2007",2,4
"335","37","104","78","6","0","47.43","4","lbw","2","v England","Lord's","19 Jul 2007",2,4
"336","16","42","35","3","0","45.71","4","lbw","4","v England","Lord's","19 Jul 2007",2,4
"337","82","298","192","11","0","42.70","4","caught","1","v England","The Oval","9 Aug 2007",2,4
"338","1","13","11","0","0","9.09","4","bowled","3","v England","The Oval","9 Aug 2007",2,4
"339","153","342","205","13","3","74.63","4","caught","1","v Australia","Adelaide","24 Jan 2008",2,4
"340","13","67","36","1","0","36.11","4","run out","3","v Australia","Adelaide","24 Jan 2008",2,4
"341","49","98","65","7","1","75.38","5","caught","2","v New Zealand","Napier","26 Mar 2009",2,4
"342","64","167","131","9","1","48.85","4","caught","3","v New Zealand","Napier","26 Mar 2009",2,4
"343","62","108","85","11","0","72.94","4","caught","1","v New Zealand","Wellington","3 Apr 2009",2,4
"344","9","25","20","0","1","45.00","4","caught","3","v New Zealand","Wellington","3 Apr 2009",2,4
"345","203","516","347","23","1","58.50","4","caught","2","v Sri Lanka","Colombo (SSC)","26 Jul 2010",2,4
"346","146","465","314","17","2","46.49","4","bowled","2","v South Africa","Cape Town","2 Jan 2011",2,4
"347","14*","146","91","0","0","15.38","4","not out","4","v South Africa","Cape Town","2 Jan 2011",2,4
