"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date","ha","result"
"54","56*","178","110","9","0","50.90","4","not out","4","v Pakistan","Delhi","22 Nov 2007",1,1
"55","88","186","111","10","0","79.27","4","caught","1","v Australia","Mohali","17 Oct 2008",1,1
"56","10*","16","12","1","0","83.33","5","not out","3","v Australia","Mohali","17 Oct 2008",1,1
"57","109","274","188","12","0","57.97","4","lbw","1","v Australia","Nagpur","6 Nov 2008",1,1
"58","12","90","55","1","0","21.81","4","run out","3","v Australia","Nagpur","6 Nov 2008",1,1
"59","37","90","48","4","1","77.08","4","caught","2","v England","Chennai","11 Dec 2008",1,1
"60","103*","317","196","9","0","52.55","4","not out","4","v England","Chennai","11 Dec 2008",1,1
"61","40","122","91","0","1","43.95","4","caught","1","v Sri Lanka","Kanpur","24 Nov 2009",1,1
"62","53","139","103","6","0","51.45","4","bowled","2","v Sri Lanka","Mumbai (BS)","2 Dec 2009",1,1
"63","106","266","206","12","0","51.45","4","caught","2","v South Africa","Kolkata","14 Feb 2010",1,1
"64","98","251","189","13","0","51.85","5","lbw","2","v Australia","Mohali","1 Oct 2010",1,1
"65","38","106","64","5","0","59.37","4","caught","4","v Australia","Mohali","1 Oct 2010",1,1
"66","214","547","363","22","2","58.95","4","bowled","2","v Australia","Bangalore","9 Oct 2010",1,1
"67","53*","125","77","5","2","68.83","4","not out","4","v Australia","Bangalore","9 Oct 2010",1,1
"68","61","162","129","8","0","47.28","4","caught","2","v New Zealand","Nagpur","20 Nov 2010",1,1
"69","7","25","18","1","0","38.88","4","lbw","2","v West Indies","Delhi","6 Nov 2011",1,1
"70","76","200","148","10","0","51.35","4","lbw","4","v West Indies","Delhi","6 Nov 2011",1,1
"71","38","74","71","5","0","53.52","4","caught","1","v West Indies","Kolkata","14 Nov 2011",1,1
"72","19","86","62","2","0","30.64","4","bowled","1","v New Zealand","Hyderabad (Deccan)","23 Aug 2012",1,1
"73","17","61","50","3","0","34.00","4","bowled","2","v New Zealand","Bangalore","31 Aug 2012",1,1
"74","27","78","34","5","0","79.41","4","bowled","4","v New Zealand","Bangalore","31 Aug 2012",1,1
"75","13","25","18","2","0","72.22","4","caught","1","v England","Ahmedabad","15 Nov 2012",1,1
"76","DNB","-","-","-","-","-","-","-","4","v England","Ahmedabad","15 Nov 2012",1,1
"77","81","257","159","7","0","50.94","4","bowled","2","v Australia","Chennai","22 Feb 2013",1,1
"78","13*","10","10","0","2","130.00","4","not out","4","v Australia","Chennai","22 Feb 2013",1,1
"79","7","32","15","1","0","46.66","4","caught","2","v Australia","Hyderabad (Deccan)","2 Mar 2013",1,1
"80","37","125","81","5","0","45.67","4","caught","2","v Australia","Mohali","14 Mar 2013",1,1
"81","21","71","23","2","0","91.30","4","run out","4","v Australia","Mohali","14 Mar 2013",1,1
"82","32","99","53","5","0","60.37","4","lbw","2","v Australia","Delhi","22 Mar 2013",1,1
"83","1","8","5","0","0","20.00","4","lbw","4","v Australia","Delhi","22 Mar 2013",1,1
"84","10","41","24","2","0","41.66","4","lbw","2","v West Indies","Kolkata","6 Nov 2013",1,1
"85","74","150","118","12","0","62.71","4","caught","2","v West Indies","Mumbai","14 Nov 2013",1,1
"86","40","72","55","9","0","72.72","4","caught","2","v West Indies","Mohali","10 Dec 1994",1,2
"87","10","38","24","2","0","41.66","4","caught","4","v West Indies","Mohali","10 Dec 1994",1,2
"88","18","91","62","3","0","29.03","4","bowled","2","v South Africa","Kolkata","27 Nov 1996",1,2
"89","2","28","25","0","0","8.00","4","caught","4","v South Africa","Kolkata","27 Nov 1996",1,2
"90","177","298","207","29","3","85.50","4","bowled","1","v Australia","Bangalore","25 Mar 1998",1,2
"91","31","75","64","4","0","48.43","4","caught","3","v Australia","Bangalore","25 Mar 1998",1,2
"92","0","5","3","0","0","0.00","4","caught","2","v Pakistan","Chennai","28 Jan 1999",1,2
"93","136","405","273","18","0","49.81","4","caught","4","v Pakistan","Chennai","28 Jan 1999",1,2
"94","0","2","1","0","0","0.00","5","bowled","2","v Pakistan","Kolkata","16 Feb 1999",1,2
"95","9","18","13","1","0","69.23","4","run out","4","v Pakistan","Kolkata","16 Feb 1999",1,2
"96","97","208","163","12","2","59.50","4","caught","1","v South Africa","Mumbai","24 Feb 2000",1,2
"97","8","20","11","2","0","72.72","4","lbw","3","v South Africa","Mumbai","24 Feb 2000",1,2
"98","21","120","76","3","0","27.63","4","caught","1","v South Africa","Bangalore","2 Mar 2000",1,2
"99","20","76","53","2","0","37.73","4","caught","3","v South Africa","Bangalore","2 Mar 2000",1,2
"100","76","138","114","13","0","66.66","4","caught","1","v Australia","Mumbai","27 Feb 2001",1,2
"101","65","153","107","11","0","60.74","5","caught","3","v Australia","Mumbai","27 Feb 2001",1,2
"102","8","49","36","0","0","22.22","4","lbw","2","v Australia","Nagpur","26 Oct 2004",1,2
"103","2","18","14","0","0","14.28","4","caught","4","v Australia","Nagpur","26 Oct 2004",1,2
"104","41","78","71","7","0","57.74","4","caught","2","v Pakistan","Bangalore","24 Mar 2005",1,2
"105","16","140","98","2","0","16.32","4","caught","4","v Pakistan","Bangalore","24 Mar 2005",1,2
"106","1","33","21","0","0","4.76","4","caught","2","v England","Mumbai","18 Mar 2006",1,2
"107","34","77","57","5","0","59.64","5","caught","4","v England","Mumbai","18 Mar 2006",1,2
"108","7","25","16","1","0","43.75","4","caught","2","v South Africa","Nagpur","6 Feb 2010",1,2
"109","100","275","179","13","0","55.86","4","bowled","3","v South Africa","Nagpur","6 Feb 2010",1,2
"110","8","14","12","1","0","66.66","4","bowled","1","v England","Mumbai","23 Nov 2012",1,2
"111","8","28","19","2","0","42.10","4","lbw","3","v England","Mumbai","23 Nov 2012",1,2
"112","76","202","155","13","0","49.03","4","caught","1","v England","Kolkata","5 Dec 2012",1,2
"113","5","17","6","1","0","83.33","4","caught","3","v England","Kolkata","5 Dec 2012",1,2
"114","179","414","322","24","1","55.59","4","caught","1","v West Indies","Nagpur","1 Dec 1994",1,4
"115","54","180","138","3","0","39.13","4","caught","3","v West Indies","Nagpur","1 Dec 1994",1,4
"116","52*","98","88","5","0","59.09","4","not out","1","v New Zealand","Chennai","25 Oct 1995",1,4
"117","2","8","8","0","0","25.00","4","bowled","1","v New Zealand","Cuttack","8 Nov 1995",1,4
"118","23","129","93","2","0","24.73","4","caught","2","v Sri Lanka","Mohali","19 Nov 1997",1,4
"119","15","38","20","1","1","75.00","4","bowled","1","v Sri Lanka","Nagpur","26 Nov 1997",1,4
"120","148","320","244","20","3","60.65","5","bowled","1","v Sri Lanka","Mumbai","3 Dec 1997",1,4
