"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","14.0","3","50","2","3.57","2","1","v Australia","Darwin","1 Jul 2004"
"2","15.1","3","42","4","2.76","3","3","v Australia","Darwin","1 Jul 2004"
"3","29.2","2","149","4","5.07","4","1","v Australia","Cairns","9 Jul 2004"
"4","5.0","0","23","0","4.60","3","3","v Australia","Cairns","9 Jul 2004"
"5","13.0","1","51","1","3.92","2","2","v South Africa","Colombo (SSC)","11 Aug 2004"
"6","13.0","1","54","3","4.15","2","4","v South Africa","Colombo (SSC)","11 Aug 2004"
"7","10.0","1","50","1","5.00","2","2","v Pakistan","Faisalabad","20 Oct 2004"
"8","6.0","2","13","0","2.16","2","4","v Pakistan","Faisalabad","20 Oct 2004"
"9","34.0","5","130","4","3.82","2","1","v New Zealand","Napier","4 Apr 2005"
"10","24.4","4","80","5","3.24","2","3","v New Zealand","Napier","4 Apr 2005"
"11","34.0","2","124","2","3.64","2","2","v New Zealand","Wellington","11 Apr 2005"
"12","14.0","1","71","4","5.07","2","1","v West Indies","Colombo (SSC)","13 Jul 2005"
"13","12.0","5","22","0","1.83","2","3","v West Indies","Colombo (SSC)","13 Jul 2005"
"14","9.0","3","22","0","2.44","2","2","v West Indies","Kandy","22 Jul 2005"
"15","12.0","2","48","1","4.00","1","4","v West Indies","Kandy","22 Jul 2005"
"16","8.0","1","44","1","5.50","2","1","v Bangladesh","Colombo (RPS)","12 Sep 2005"
"17","6.0","1","32","3","5.33","2","3","v Bangladesh","Colombo (RPS)","12 Sep 2005"
"18","9.0","1","32","2","3.55","2","2","v Bangladesh","Colombo (PSS)","20 Sep 2005"
"19","7.0","0","31","0","4.42","2","3","v Bangladesh","Colombo (PSS)","20 Sep 2005"
"20","32.0","4","113","3","3.53","1","1","v India","Ahmedabad","18 Dec 2005"
"21","12.0","2","63","1","5.25","1","3","v India","Ahmedabad","18 Dec 2005"
"22","16.5","3","57","4","3.38","1","1","v Bangladesh","Chittagong","28 Feb 2006"
"23","13.0","2","41","0","3.15","1","3","v Bangladesh","Chittagong","28 Feb 2006"
"24","20.0","1","73","2","3.65","1","1","v Bangladesh","Bogra","8 Mar 2006"
"25","14.1","1","51","3","3.60","1","3","v Bangladesh","Bogra","8 Mar 2006"
"26","12.0","3","30","3","2.50","1","2","v Pakistan","Colombo (SSC)","26 Mar 2006"
"27","13.0","3","44","0","3.38","1","4","v Pakistan","Colombo (SSC)","26 Mar 2006"
"28","6.0","2","19","0","3.16","1","2","v Pakistan","Kandy","3 Apr 2006"
"29","6.2","0","33","1","5.21","3","4","v Pakistan","Kandy","3 Apr 2006"
"30","13.3","2","68","2","5.03","2","2","v England","Birmingham","25 May 2006"
"31","7.0","1","29","0","4.14","2","4","v England","Birmingham","25 May 2006"
"32","23.1","3","62","2","2.67","2","2","v England","Nottingham","2 Jun 2006"
"33","7.0","0","24","0","3.42","2","4","v England","Nottingham","2 Jun 2006"
"34","10.0","2","38","0","3.80","1","1","v South Africa","Colombo (SSC)","27 Jul 2006"
"35","16.2","0","85","1","5.20","1","3","v South Africa","Colombo (SSC)","27 Jul 2006"
"36","18.0","4","81","3","4.50","2","1","v South Africa","Colombo (PSS)","4 Aug 2006"
"37","12.0","1","55","0","4.58","2","3","v South Africa","Colombo (PSS)","4 Aug 2006"
"38","19.4","2","43","2","2.18","2","2","v New Zealand","Christchurch","7 Dec 2006"
"39","4.0","1","35","0","8.75","2","4","v New Zealand","Christchurch","7 Dec 2006"
"40","18.0","4","68","5","3.77","2","2","v New Zealand","Wellington","15 Dec 2006"
"41","16.0","1","62","2","3.87","2","4","v New Zealand","Wellington","15 Dec 2006"
"42","7.0","0","31","1","4.42","2","1","v Bangladesh","Colombo (SSC)","25 Jun 2007"
"43","17.0","2","80","4","4.70","2","3","v Bangladesh","Colombo (SSC)","25 Jun 2007"
"44","9.0","1","25","4","2.77","2","1","v Bangladesh","Colombo (PSS)","3 Jul 2007"
"45","15.0","1","86","0","5.73","2","3","v Bangladesh","Colombo (PSS)","3 Jul 2007"
"46","10.0","2","41","1","4.10","1","1","v Bangladesh","Kandy","11 Jul 2007"
"47","10.0","0","46","2","4.60","1","3","v Bangladesh","Kandy","11 Jul 2007"
"48","35.0","6","156","1","4.45","1","1","v Australia","Hobart","16 Nov 2007"
"49","12.0","0","61","1","5.08","1","3","v Australia","Hobart","16 Nov 2007"
"50","20.0","2","86","1","4.30","2","2","v England","Kandy","1 Dec 2007"
"51","15.0","3","39","1","2.60","2","4","v England","Kandy","1 Dec 2007"
"52","24.0","3","78","3","3.25","2","1","v England","Colombo (SSC)","9 Dec 2007"
"53","8.0","1","37","0","4.62","2","3","v England","Colombo (SSC)","9 Dec 2007"
"54","9.0","2","26","1","2.88","2","2","v England","Galle","18 Dec 2007"
"55","20.0","3","42","0","2.10","3","3","v England","Galle","18 Dec 2007"
"56","13.0","0","55","2","4.23","1","2","v India","Galle","18 Jul 2010"
"57","17.0","2","50","5","2.94","1","3","v India","Galle","18 Jul 2010"
"58","30.0","3","119","3","3.96","1","2","v India","Colombo (PSS)","3 Aug 2010"
"59","12.0","1","49","0","4.08","1","4","v India","Colombo (PSS)","3 Aug 2010"
