"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","4.0","0","15","4","3.75","5","1","v Zimbabwe","King City (NW)","10 Oct 2008"
"2","4.0","1","17","4","4.25","3","2","v Canada","King City (NW)","12 Oct 2008"
"3","4.0","0","23","3","5.75","5","1","v Pakistan","King City (NW)","13 Oct 2008"
"4","4.0","0","20","3","5.00","5","1","v Australia","Nottingham","8 Jun 2009"
"5","4.0","0","25","2","6.25","4","2","v West Indies","Nottingham","10 Jun 2009"
"6","3.0","0","24","0","8.00","5","2","v Pakistan","Lord's","12 Jun 2009"
"7","4.0","0","22","2","5.50","3","2","v Ireland","Lord's","14 Jun 2009"
"8","3.0","0","9","3","3.00","5","2","v New Zealand","Nottingham","16 Jun 2009"
"9","4.0","0","9","2","2.25","4","2","v West Indies","The Oval","19 Jun 2009"
"10","4.0","0","34","0","8.50","5","2","v Pakistan","Lord's","21 Jun 2009"
"11","4.0","0","25","1","6.25","4","1","v New Zealand","Colombo (RPS)","2 Sep 2009"
"12","4.0","0","21","1","5.25","3","1","v New Zealand","Colombo (RPS)","4 Sep 2009"
"13","4.0","0","34","1","8.50","3","2","v New Zealand","Providence","30 Apr 2010"
"14","2.0","0","9","0","4.50","1","2","v Zimbabwe","Providence","3 May 2010"
"15","4.0","0","24","3","6.00","3","2","v West Indies","Bridgetown","7 May 2010"
"16","4.0","0","42","0","10.50","5","1","v Australia","Bridgetown","9 May 2010"
"17","4.0","0","19","0","4.75","2","2","v England","Gros Islet","13 May 2010"
"18","4.0","0","18","2","4.50","6","1","v New Zealand","Lauderhill","22 May 2010"
"19","4.0","0","19","2","4.75","4","1","v New Zealand","Lauderhill","23 May 2010"
"20","4.0","1","16","6","4.00","5","2","v Australia","Pallekele","8 Aug 2011"
"21","3.0","0","20","1","6.66","4","2","v Pakistan","Abu Dhabi","25 Nov 2011"
"22","4.0","2","8","6","2.00","3","2","v Zimbabwe","Hambantota","18 Sep 2012"
"23","4.0","0","48","1","12.00","4","1","v New Zealand","Pallekele","27 Sep 2012"
"24","4.0","1","12","2","3.00","4","1","v West Indies","Pallekele","29 Sep 2012"
"25","4.0","0","40","0","10.00","4","2","v England","Pallekele","1 Oct 2012"
"26","4.0","0","27","2","6.75","4","2","v Pakistan","Colombo (RPS)","4 Oct 2012"
"27","4.0","0","12","4","3.00","4","1","v West Indies","Colombo (RPS)","7 Oct 2012"
"28","4.0","0","26","0","6.50","5","1","v Australia","Sydney","26 Jan 2013"
"29","3.0","0","25","1","8.33","3","2","v Australia","Melbourne","28 Jan 2013"
"30","4.0","0","32","1","8.00","6","1","v South Africa","Colombo (RPS)","2 Aug 2013"
"31","4.0","0","39","0","9.75","5","1","v South Africa","Hambantota","4 Aug 2013"
"32","4.0","0","31","1","7.75","5","1","v South Africa","Hambantota","6 Aug 2013"
"33","3.0","0","20","1","6.66","5","1","v New Zealand","Pallekele","21 Nov 2013"
"34","4.0","0","29","1","7.25","4","2","v Pakistan","Dubai (DSC)","11 Dec 2013"
"35","4.0","0","29","1","7.25","4","2","v Bangladesh","Chittagong","12 Feb 2014"
"36","4.0","0","21","1","5.25","6","1","v Bangladesh","Chittagong","14 Feb 2014"
"37","4.0","0","44","1","11.00","6","2","v South Africa","Chittagong","22 Mar 2014"
"38","2.3","0","12","3","4.80","4","1","v Netherlands","Chittagong","24 Mar 2014"
"39","4.0","0","52","0","13.00","5","2","v England","Chittagong","27 Mar 2014"
