"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","2","4","6","0","0","33.33","4","caught","1","v Afghanistan","Sharjah","25 Aug 2012"
"2","38","53","38","2","1","100.00","7","lbw","2","v Pakistan","Sharjah","28 Aug 2012"
"3","28","42","27","0","2","103.70","7","stumped","1","v Pakistan","Abu Dhabi","31 Aug 2012"
"4","56*","59","38","4","3","147.36","7","not out","2","v Pakistan","Sharjah","3 Sep 2012"
"5","5","6","6","1","0","83.33","6","caught","1","v Sri Lanka","Melbourne","11 Jan 2013"
"6","8","22","18","0","0","44.44","6","caught","1","v Sri Lanka","Adelaide","13 Jan 2013"
"7","9","14","9","1","0","100.00","6","caught","1","v Sri Lanka","Hobart","23 Jan 2013"
"8","51*","42","35","9","2","145.71","1","not out","2","v West Indies","Perth","1 Feb 2013"
"9","0","1","1","0","0","0.00","7","bowled","1","v West Indies","Perth","3 Feb 2013"
"10","4","6","3","0","0","133.33","6","caught","1","v West Indies","Canberra","6 Feb 2013"
"11","1*","3","2","0","0","50.00","7","not out","2","v West Indies","Sydney","8 Feb 2013"
"12","29*","37","22","1","2","131.81","7","not out","1","v New Zealand","Birmingham","12 Jun 2013"
"13","32","25","20","5","1","160.00","3","bowled","2","v Sri Lanka","The Oval","17 Jun 2013"
"14","31","21","23","1","3","134.78","6","caught","1","v India","Pune","13 Oct 2013"
"15","53","36","32","7","1","165.62","5","run out","1","v India","Jaipur","16 Oct 2013"
"16","3","3","3","0","0","100.00","6","run out","2","v India","Mohali","19 Oct 2013"
"17","92","95","77","6","5","119.48","6","lbw","1","v India","Ranchi","23 Oct 2013"
"18","9","5","6","2","0","150.00","5","caught","1","v India","Nagpur","30 Oct 2013"
"19","60","23","22","3","7","272.72","6","caught","2","v India","Bangalore","2 Nov 2013"
"20","8*","16","12","0","0","66.66","6","not out","2","v England","Melbourne","12 Jan 2014"
"21","54","56","39","8","0","138.46","6","caught","2","v England","Brisbane","17 Jan 2014"
"22","DNB","-","-","-","-","-","-","-","2","v England","Sydney","19 Jan 2014"
"23","26","39","26","2","0","100.00","6","caught","2","v England","Perth","24 Jan 2014"
"24","22","36","35","1","0","62.85","6","caught","1","v England","Adelaide","26 Jan 2014"
"25","93","50","46","9","5","202.17","5","caught","1","v Zimbabwe","Harare","25 Aug 2014"
"26","7","18","8","1","0","87.50","5","caught","1","v South Africa","Harare","27 Aug 2014"
"27","13","14","17","1","1","76.47","5","bowled","1","v Zimbabwe","Harare","31 Aug 2014"
"28","2","9","6","0","0","33.33","4","caught","1","v South Africa","Harare","2 Sep 2014"
"29","0","1","1","0","0","0.00","6","lbw","1","v South Africa","Harare","6 Sep 2014"
"30","21","24","23","1","0","91.30","5","caught","1","v Pakistan","Sharjah","7 Oct 2014"
"31","76","98","81","9","1","93.82","5","caught","2","v Pakistan","Dubai (DSC)","10 Oct 2014"
"32","20","27","22","1","0","90.90","5","caught","1","v Pakistan","Abu Dhabi","12 Oct 2014"
"33","29","23","19","5","0","152.63","8","caught","1","v South Africa","Perth","14 Nov 2014"
"34","0","2","2","0","0","0.00","8","bowled","1","v South Africa","Perth","16 Nov 2014"
"35","2","9","5","0","0","40.00","6","caught","2","v South Africa","Melbourne","21 Nov 2014"
"36","7","16","10","0","0","70.00","5","caught","2","v South Africa","Sydney","23 Nov 2014"
"37","0","1","2","0","0","0.00","6","caught","2","v England","Sydney","16 Jan 2015"
"38","20","34","23","1","1","86.95","5","caught","2","v India","Melbourne","18 Jan 2015"
"39","37","39","38","4","0","97.36","5","caught","2","v England","Hobart","23 Jan 2015"
"40","TDNB","-","-","-","-","-","-","-","-","v India","Sydney","26 Jan 2015"
"41","95","116","98","15","0","96.93","5","caught","1","v England","Perth","1 Feb 2015"
"42","66","63","40","11","0","165.00","6","caught","1","v England","Melbourne","14 Feb 2015"
"43","1","4","3","0","0","33.33","6","bowled","1","v New Zealand","Auckland","28 Feb 2015"
"44","88","45","39","6","7","225.64","4","caught","1","v Afghanistan","Perth","4 Mar 2015"
"45","102","73","53","10","4","192.45","5","caught","1","v Sri Lanka","Sydney","8 Mar 2015"
"46","DNB","-","-","-","-","-","-","-","2","v Scotland","Hobart","14 Mar 2015"
"47","44*","37","29","5","2","151.72","6","not out","2","v Pakistan","Adelaide","20 Mar 2015"
"48","23","17","14","3","1","164.28","4","caught","1","v India","Sydney","26 Mar 2015"
"49","DNB","-","-","-","-","-","-","-","2","v New Zealand","Melbourne","29 Mar 2015"
