"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","45.0","7","150","1","3.33","5","2","v India","Sydney","2 Jan 1992"
"2","7.0","1","18","0","2.57","4","2","v India","Adelaide","25 Jan 1992"
"3","16.0","1","60","0","3.75","5","4","v India","Adelaide","25 Jan 1992"
"4","22.0","2","107","0","4.86","5","2","v Sri Lanka","Colombo (SSC)","17 Aug 1992"
"5","5.1","3","11","3","2.12","6","4","v Sri Lanka","Colombo (SSC)","17 Aug 1992"
"6","11.0","3","40","0","3.63","5","2","v Sri Lanka","Moratuwa","8 Sep 1992"
"7","24.0","7","65","1","2.70","4","2","v West Indies","Melbourne","26 Dec 1992"
"8","23.2","8","52","7","2.22","4","4","v West Indies","Melbourne","26 Dec 1992"
"9","41.0","6","116","1","2.82","5","2","v West Indies","Sydney","2 Jan 1993"
"10","2.0","0","11","0","5.50","5","1","v West Indies","Adelaide","23 Jan 1993"
"11","6.0","2","18","1","3.00","5","3","v West Indies","Adelaide","23 Jan 1993"
"12","12.0","0","51","0","4.25","4","2","v West Indies","Perth","30 Jan 1993"
"13","22.0","12","23","3","1.04","5","2","v New Zealand","Christchurch","25 Feb 1993"
"14","26.0","7","63","4","2.42","5","3","v New Zealand","Christchurch","25 Feb 1993"
"15","29.0","9","59","2","2.03","5","1","v New Zealand","Wellington","4 Mar 1993"
"16","40.0","25","49","2","1.22","3","3","v New Zealand","Wellington","4 Mar 1993"
"17","15.0","12","8","4","0.53","4","2","v New Zealand","Auckland","12 Mar 1993"
"18","27.0","8","54","2","2.00","4","4","v New Zealand","Auckland","12 Mar 1993"
"19","24.0","10","51","4","2.12","4","2","v England","Manchester","3 Jun 1993"
"20","49.0","26","86","4","1.75","4","4","v England","Manchester","3 Jun 1993"
"21","35.0","12","57","4","1.62","5","2","v England","Lord's","17 Jun 1993"
"22","48.5","17","102","4","2.08","5","3","v England","Lord's","17 Jun 1993"
"23","40.0","17","74","3","1.85","3","1","v England","Nottingham","1 Jul 1993"
"24","50.0","21","108","3","2.16","4","3","v England","Nottingham","1 Jul 1993"
"25","23.0","9","43","1","1.86","4","2","v England","Leeds","22 Jul 1993"
"26","40.0","16","63","0","1.57","3","3","v England","Leeds","22 Jul 1993"
"27","21.0","7","63","1","3.00","6","1","v England","Birmingham","5 Aug 1993"
"28","49.0","23","82","5","1.67","4","3","v England","Birmingham","5 Aug 1993"
"29","20.0","5","70","2","3.50","4","1","v England","The Oval","19 Aug 1993"
"30","40.0","15","78","3","1.95","3","3","v England","The Oval","19 Aug 1993"
"31","37.1","6","90","1","2.42","4","2","v New Zealand","Perth","12 Nov 1993"
"32","13.0","6","23","0","1.76","5","4","v New Zealand","Perth","12 Nov 1993"
"33","18.0","5","36","3","2.00","6","2","v New Zealand","Hobart","26 Nov 1993"
"34","19.5","9","31","6","1.56","5","3","v New Zealand","Hobart","26 Nov 1993"
"35","28.3","12","66","4","2.31","6","1","v New Zealand","Brisbane","3 Dec 1993"
"36","35.0","11","59","4","1.68","4","3","v New Zealand","Brisbane","3 Dec 1993"
"37","31.0","8","63","1","2.03","5","2","v South Africa","Melbourne","26 Dec 1993"
"38","27.0","8","56","7","2.07","3","1","v South Africa","Sydney","2 Jan 1994"
