"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","10.0","1","68","1","6.80","2","1","v England","Chester-le-Street","15 Jun 2008"
"2","5.0","0","35","2","7.00","2","1","v England","Birmingham","18 Jun 2008"
"3","10.0","2","38","4","3.80","3","2","v England","Bristol","21 Jun 2008"
"4","10.0","1","47","3","4.70","3","1","v England","The Oval","25 Jun 2008"
"5","9.0","0","49","3","5.44","4","2","v England","Lord's","28 Jun 2008"
"6","6.0","0","22","3","3.66","1","2","v Ireland","Aberdeen","1 Jul 2008"
"7","4.0","0","12","0","3.00","2","1","v Scotland","Aberdeen","3 Jul 2008"
"8","9.0","0","41","0","4.55","3","2","v Bangladesh","Dhaka","9 Oct 2008"
"9","9.0","0","33","1","3.66","2","2","v Bangladesh","Dhaka","11 Oct 2008"
"10","10.0","0","40","1","4.00","2","2","v Bangladesh","Chittagong","14 Oct 2008"
"11","7.4","0","33","2","4.30","3","1","v West Indies","Queenstown","31 Dec 2008"
"12","5.5","1","38","1","6.51","2","2","v West Indies","Christchurch","3 Jan 2009"
"13","10.0","2","36","2","3.60","2","1","v West Indies","Wellington","7 Jan 2009"
"14","0.3","0","10","0","20.00","3","2","v West Indies","Auckland","10 Jan 2009"
"15","10.0","0","63","0","6.30","3","1","v West Indies","Napier","13 Jan 2009"
"16","10.0","0","34","1","3.40","2","1","v Australia","Perth","1 Feb 2009"
"17","10.0","0","57","1","5.70","2","1","v Australia","Melbourne","6 Feb 2009"
"18","10.0","0","52","0","5.20","2","1","v Australia","Sydney","8 Feb 2009"
"19","10.0","0","61","1","6.10","2","2","v Australia","Adelaide","10 Feb 2009"
"20","5.0","0","49","0","9.80","2","1","v Australia","Brisbane","13 Feb 2009"
"21","10.0","0","105","0","10.50","2","1","v India","Christchurch","8 Mar 2009"
"22","10.0","2","54","1","5.40","2","1","v Pakistan","Abu Dhabi","3 Nov 2009"
"23","8.0","0","48","1","6.00","3","2","v Pakistan","Abu Dhabi","6 Nov 2009"
"24","10.0","0","26","2","2.60","4","2","v Pakistan","Abu Dhabi","9 Nov 2009"
"25","7.0","0","34","0","4.85","2","2","v Bangladesh","Napier","5 Feb 2010"
"26","10.0","2","37","3","3.70","1","1","v Bangladesh","Christchurch","11 Feb 2010"
"27","8.0","0","66","1","8.25","1","1","v Australia","Napier","3 Mar 2010"
"28","10.0","0","57","0","5.70","2","1","v Australia","Auckland","6 Mar 2010"
"29","10.0","0","43","1","4.30","2","2","v Australia","Hamilton","9 Mar 2010"
"30","5.1","0","55","0","10.64","2","2","v Australia","Auckland","11 Mar 2010"
"31","9.0","0","36","4","4.00","4","2","v Australia","Wellington","13 Mar 2010"
"32","6.0","0","41","1","6.83","3","2","v Sri Lanka","Dambulla","13 Aug 2010"
"33","10.0","2","49","4","4.90","2","1","v India","Dambulla","25 Aug 2010"
"34","7.0","0","37","0","5.28","2","1","v Bangladesh","Dhaka","5 Oct 2010"
"35","3.0","0","20","0","6.66","2","2","v Bangladesh","Dhaka","11 Oct 2010"
"36","5.0","0","33","0","6.60","6","2","v India","Jaipur","1 Dec 2010"
"37","10.0","0","64","1","6.40","2","2","v India","Bangalore","7 Dec 2010"
"38","DNB","-","-","-","-","-","2","v India","Chennai","10 Dec 2010"
"39","9.3","0","33","5","3.47","2","1","v Pakistan","Wellington","22 Jan 2011"
"40","2.0","0","10","0","5.00","2","1","v Pakistan","Queenstown","26 Jan 2011"
"41","10.0","0","57","2","5.70","2","1","v Pakistan","Christchurch","29 Jan 2011"
"42","10.0","0","70","0","7.00","1","2","v Pakistan","Napier","1 Feb 2011"
"43","8.0","0","47","0","5.87","2","2","v Pakistan","Auckland","5 Feb 2011"
"44","6.0","0","13","3","2.16","1","1","v Kenya","Chennai","20 Feb 2011"
"45","10.0","2","45","1","4.50","1","2","v Australia","Nagpur","25 Feb 2011"
"46","9.2","3","29","3","3.10","2","1","v Zimbabwe","Ahmedabad","4 Mar 2011"
"47","8.0","1","25","3","3.12","2","2","v Pakistan","Pallekele","8 Mar 2011"
"48","10.0","1","36","1","3.60","2","2","v Canada","Mumbai","13 Mar 2011"
"49","10.0","0","63","3","6.30","1","1","v Sri Lanka","Mumbai","18 Mar 2011"
"50","9.0","0","44","1","4.88","3","2","v South Africa","Dhaka","25 Mar 2011"
"51","10.0","2","57","3","5.70","2","2","v Sri Lanka","Colombo (RPS)","29 Mar 2011"
"52","8.0","0","27","0","3.37","3","2","v Zimbabwe","Dunedin","3 Feb 2012"
"53","10.0","0","50","1","5.00","2","2","v Zimbabwe","Whangarei","6 Feb 2012"
"54","10.0","0","64","1","6.40","2","2","v South Africa","Wellington","25 Feb 2012"
"55","8.0","0","61","0","7.62","2","2","v South Africa","Napier","29 Feb 2012"
"56","7.0","1","37","0","5.28","2","2","v West Indies","Kingston","5 Jul 2012"
"57","10.0","1","55","3","5.50","2","1","v West Indies","Kingston","7 Jul 2012"
"58","6.0","1","14","1","2.33","3","2","v West Indies","Basseterre","11 Jul 2012"
"59","9.5","1","53","3","5.38","3","1","v West Indies","Basseterre","14 Jul 2012"
"60","10.0","1","37","3","3.70","3","1","v West Indies","Basseterre","16 Jul 2012"
"61","4.0","0","16","0","4.00","3","2","v Sri Lanka","Pallekele","4 Nov 2012"
"62","7.0","0","50","1","7.14","3","2","v Sri Lanka","Pallekele","6 Nov 2012"
"63","7.0","0","32","1","4.57","2","2","v Sri Lanka","Hambantota","10 Nov 2012"
"64","5.3","2","18","3","3.27","2","1","v Sri Lanka","Hambantota","12 Nov 2012"
"65","9.0","0","54","1","6.00","4","2","v England","Napier","20 Feb 2013"
"66","10.0","1","48","3","4.80","2","2","v England","Auckland","23 Feb 2013"
"67","10.0","2","37","3","3.70","3","1","v England","Lord's","31 May 2013"
"68","9.0","0","65","0","7.22","3","1","v England","Nottingham","5 Jun 2013"
"69","7.0","1","25","0","3.57","4","1","v Sri Lanka","Cardiff","9 Jun 2013"
"70","4.0","1","26","0","6.50","4","1","v Australia","Birmingham","12 Jun 2013"
"71","10.0","2","34","3","3.40","1","1","v Bangladesh","Dhaka","29 Oct 2013"
"72","10.0","2","45","0","4.50","1","1","v Bangladesh","Dhaka","31 Oct 2013"
"73","5.0","1","21","0","4.20","1","2","v West Indies","Nelson","4 Jan 2014"
"74","10.0","0","64","0","6.40","1","1","v West Indies","Hamilton","8 Jan 2014"
"75","9.4","2","43","1","4.44","1","2","v India","Napier","19 Jan 2014"
"76","9.0","0","72","4","8.00","3","2","v India","Hamilton","22 Jan 2014"
"77","10.0","0","74","1","7.40","1","2","v India","Auckland","25 Jan 2014"
"78","10.0","1","36","2","3.60","2","1","v India","Hamilton","28 Jan 2014"
"79","10.0","1","50","2","5.00","2","1","v South Africa","Mount Maunganui","24 Oct 2014"
"80","7.4","0","29","0","3.78","1","1","v South Africa","Hamilton","27 Oct 2014"
